Вопрос,Ответ
"Из-за чего блокируются аккаунты?","Согласно пользовательскому соглашению, аккаунт автоматически блокируется системой после нескольких жалоб пользователей, до выяснения причины жалоб."
"Как узнать по какой причине жаловались пользователи?","Причину жалоб может сообщить сотрудник службы поддержки."
"Когда будет удален аккаунт после блокировки?","Если аккаунт заблокирован без возможности восстановления, он будет удален полностью в течение 48 часов."
"Как разблокировать аккаунт?","Для того чтобы узнать можно разблокировать аккаунт или нет, необходимо связаться с сотрудником службы поддержки и сообщить ему ID аккаунта, который указан в нижней части экрана блокировки. Если аккаунт можно разблокировать, сотрудник сообщит какие действия необходимо совершить для того чтобы его разблокировать."
"Профиль на модерации","Модераторы могут попросить изменить фото, био, имя или возраст профиля, если есть сомнения, что они реальны. На экране блокировки отобразится информация, которую необходимо изменить. После изменения аккаунт будет направлен на повторную проверку. Проверка может занять какое-то время, если ваш профиль находится на проверке несколько дней, пожалуйста, свяжитесь с сотрудником службы поддержки и пришлите ID вашего аккаунта."
"Заблокирован аккаунт с действующей подпиской. Вернутся ли деньги?","Заблокированы могут быть любые аккаунты, на которые поступили жалобы. Подписка при блокировке аккаунта не учитывается."
"Отменится ли подписка, если аккаунт заблокирован?","Подписка не отключается автоматически после блокировки аккаунта. Помочь отключить подписку в заблокированном аккаунте может сотрудник поддержки."
"Как вернуть деньги за подписку?","Запросить возврат за неиспользованные дни подписки можно у сотрудника поддержки. Если подписка была оплачена через Google Play или App Store, возврат можно оформить в соответствующем сторе (магазине приложений)."
